NO.,Species,Classification,Description (Flavor text),Primary Type,Secondary Type,Size,Rarity,Primary Habitat,Behavior,Activity,Evolution Requirement,Primary Ability,Secondary Ability,Hidden Ability,Capture DC,Lv,AC,HD,HP,VD,VP,Speed,Stat sum,STR,DEX,CON,INT,WIS,CHA,Saving throws,Proficiencies,Starting moves,2nd Level moves,6th Level moves,10th Level moves,14th Level moves,18th Level moves,Starting Move,Starting Move,Starting Move,Starting Move,2nd Level Move,2nd Level Move,2nd Level Move,2nd Level Move,6th Level Move,6th Level Move,6th Level Move,6th Level Move,10th Level Move,10th Level Move,10th Level Move,14th Level Move,14th Level Move,14th Level Move,18th Level Move,18th Level Move,18th Level Move,Primary ability description,Secondary ability description,Hidden ability description,Walking,Climbing,Flying,Hovering,Swimming,Burrowing,Sight,Hearing,Smell,Tremorsense,Echolocation,Telepathy,Blindsight,Darkvision,Truesight
192,Barron,Fossil dragon,"Barron are the remains of great dragons that lived in the desert in ancient times. They are very rarely spotted, and those who do may not live to tell the tale. It is said that they protect their resting place with sandstorms.",Ground,Ghost,Huge,Extremely rare,Desert,Territorial,Night,From: Styxxil,Sand Stream,Sand Force,Arena Trap,110,17,15,12,216,12,172,"45ft. Walking, 45ft. Burrowing",89,20,19,20,6,10,14,"Strength, constitution","Intimidation, survival","Bonemerang, Screech, Sand Tomb, Dragon Rage","Bone Club, Mud-Slap, Ancient Power, Sandstorm","Bone Rush, Shadow Bone, Take Down, ","Muddy Water, Fossilize, ","Shore Up, Magnitude, ","Fissure, Dragonfire, ",Bonemerang,Screech,Sand Tomb,Dragon Rage,Bone Club,Mud-Slap,Ancient Power,Sandstorm,Bone Rush,Shadow Bone,Take Down,,Muddy Water,Fossilize,,Shore Up,Magnitude,,Fissure,Dragonfire,,"When this Pokémon enters an outside battle, the weatherimmediately changes to a Sandstorm for 5 rounds. In thecase of another Pokémon with a similar weather ability, thetie goes to the Pokémon with the highest DEX score.","During a Sandstorm, this Pokémon can double its STABwhen it hits an opponent.","Grounded creatures within 50 feet of this Pokémon may not flee or switch out, except by item, Move, or ability.",45ft,-,-,-,-,45ft,Good,Good,-,Superior,-,Superior,Superior,Superior,Average
193,Dumplood,Delicacy,"This Pokémon is fairly weak, but likeable. It eats vegetables and fruit, which are brought to a boil inside its body.",Fairy,,Medium,Uncommon,City,Docile,Day,Evolves: Ponster @ Level 16,Long Reach,Gluttony,Dazzling,55,8,10,6,54,6,55,35ft. Walking,55,7,7,14,8,7,12,Dexterity,"Performance, deception","Rollout, Harden, , ","Stockpile, Swallow, Spit Up, Smart Strike","Power Whip, Steamroller, Belly Drum, ","Steam Eruption, Noodly Appendage, ","Marinara Mist, , ",", , ",Rollout,Harden,,,Stockpile,Swallow,Spit Up,Smart Strike,Power Whip,Steamroller,Belly Drum,,Steam Eruption,Noodly Appendage,,Marinara Mist,,,,,,This Pokémon has an additional 5 feet of reach with all melee attacks and Attacks of Opportunity,This Pokémon must eat its held berry when it falls below ½ of its maximum HP.,Bonus action moves activated by any creature within sight of this Pokémon become standard actions.,35ft,-,-,-,-,-,Good,Average,Good,-,-,Average,-,Good,-
194,Ponster,Spaghetti monster,"Ponster stalks at night, being drawn to greed. It is considered very dangerous to encounter this creature.",Fairy,Dark,Large,Very rare,City,Stalking,Night,From: Dumplood,Long Reach,Gluttony,Dazzling,115,16,14,10,186,10,147,"40ft. Walking, 40ft. Hovering",100,20,20,20,12,12,16,"Dexterity, Charisma","Performance, deception, persuation","Rollout, Harden, Leer, Pasta Portal","Stockpile, Swallow, Spit Up, Smart Strike","Power Whip, Steamroller, Flavor Savor, Belly Drum","Steam Eruption, Noodly Appendage, Al Dente","Marinara Mist, Divine Noodle Form, ","Meatball Meteor, , ",Rollout,Harden,Leer,Pasta Portal,Stockpile,Swallow,Spit Up,Smart Strike,Power Whip,Steamroller,Flavor Savor,Belly Drum,Steam Eruption,Noodly Appendage,Al Dente,Marinara Mist,Divine Noodle Form,,Meatball Meteor,,,This Pokémon has an additional 5 feet of reach with all melee attacks and Attacks of Opportunity,This Pokémon must eat its held berry when it falls below ½ of its maximum HP.,Bonus action moves activated by any creature within sight of this Pokémon become standard actions.,40ft,-,-,40ft,-,-,Excellent,Average,Excellent,-,-,Good,Average,Excellent,-
195,Beorkub,Bear cub,"Beorkub uses its psychic powers to read the minds of other Pokémon in order to find sources of food. It prefers berries most of all, but is very partial to fish as well.",Normal,Psychic,Medium,Uncommon,Forest,Cautious,Day,Evolves: Grizzerker @ Level 14,Stakeout,Huge Power,Bad Dreams,75,6,11,8,50,8,55,"40ft. Walking, 40ft. Climbing",64,10,8,14,8,12,12,"Intelligence, wisdom","Nature, perception, survival","Telekinesis, Crush Claw, Facade, Hypnosis","Dizzy Punch, Odor Sleuth, Natural Gift, ","Slash, Psychic Fangs, Roar, Mind Reader","Crunch, Belly Drum, Psychic","Seismic Toss, Rest, ","Roar of Time, Giga Impact, ",Telekinesis,Crush Claw,Facade,Hypnosis,Dizzy Punch,Odor Sleuth,Natural Gift,,Slash,Psychic Fangs,Roar,Mind Reader,Crunch,Belly Drum,Psychic,Seismic Toss,Rest,,Roar of Time,Giga Impact,,"When an opponent is switched out in battle, this Pokémondoubles the damage dealt if it targets the replacement on thefirst turn immediately following the switch.","Once per short rest, this Pokémon may double the damage it does on a single move that requires an attack roll. The player must announce that they are using this ability before the attack roll.","If an opponent in battle with this Pokémon falls asleep, they take an amount of damage equal to this Pokémon's proficeincy bonus at the end of each of their turns.",40ft,40ft,-,-,-,-,Good,Good,Excellent,-,-,Good,Average,Good,-
196,Grizzerker,Grizzled,"Its immense psychic abilities evolve very quickly as Beorkub goes into adolescence, overwhelming its mind. Therefore it becomes highly aggressive. Encounters with this Pokémon should be avoided.",Normal,Psychic,Large,Rare,Forest,Aggressive,Day,From: Beorkub,Stakeout,Huge Power,Bad Dreams,90,18,14,12,192,12,175,"45ft. Walking, 45ft. Climbing",84,18,14,16,10,14,12,"Strength, intelligence, wisdom","Nature, perception, survival","Telekinesis, Crush Claw, Facade, Hypnosis","Dizzy Punch, Odor Sleuth, Natural Gift, ","Slash, Psychic Fangs, Roar, Mind Reader","Crunch, Belly Drum, Psychic","Seismic Toss, Rest, V-create","Roar of Time, Giga Impact, ",Telekinesis,Crush Claw,Facade,Hypnosis,Dizzy Punch,Odor Sleuth,Natural Gift,,Slash,Psychic Fangs,Roar,Mind Reader,Crunch,Belly Drum,Psychic,Seismic Toss,Rest,V-create,Roar of Time,Giga Impact,,"When an opponent is switched out in battle, this Pokémondoubles the damage dealt if it targets the replacement on thefirst turn immediately following the switch.","Once per short rest, this Pokémon may double the damage it does on a single move that requires an attack roll. The player must announce that they are using this ability before the attack roll.","If an opponent in battle with this Pokémon falls asleep, they take an amount of damage equal to this Pokémon's proficeincy bonus at the end of each of their turns.",45ft,45ft,-,-,-,-,Good,Good,Superior,-,-,Excellent,Good,Excellent,-
197,Quetzalair,Rainmaker,This legendary Pokémon is said to watch over the creatures of the jungle.,Grass,Flying,Medium,Unique,Jungle,Protective,Day,Evolves: Quetzatlas @ Level 17,Pressure,,Drizzle,90,8,14,12,84,10,83,"25ft. Walking, 70ft. Flying",86,15,15,14,12,15,15,"Dexterity, wisdom","Performance, acrobatics","Air Slash, Agility, Rain Dance, ","Weather Ball, Skyward Soar, Celestial Aura, ","Roar of Time, Feather Spear, Venom Dart, ","Call of Ouroboros, Sapphire Torrent, Tragic Hero","Royal Guard, Cactus Bloom, Ascension","Hyper Beam, Hyper Voice, ",Air Slash,Agility,Rain Dance,,Weather Ball,Skyward Soar,Celestial Aura,,Roar of Time,Feather Spear,Venom Dart,,Call of Ouroboros,Sapphire Torrent,Tragic Hero,Royal Guard,Cactus Bloom,Ascension,Hyper Beam,Hyper Voice,,Any move targeting this Pokémon directly (non-area of effect moves) reduces its VP by double when activated.,,"When this Pokémon enters an outside battle, the weather immediately changes to light rain for 5 rounds. In the case of another Pokémon with a similar weather ability, the tie goes to the Pokémon with the highest DEX score.",25ft,-,70ft,-,-,-,Superior,Good,Good,Good,-,Good,Good,Excellent,Average
198,Quetzatlas,Rainmaker,Ancient legends talk of a great war in which people relied on Quetzatlas for protection.,Grass,Flying,Large,Unique,Jungle,Aggressive,Day,From: Quetzalair,Pressure,,Drizzle,100,15,16,20,245,12,156,"40ft. Walking, 80ft. Flying",110,20,20,18,16,18,18,"Strength, dexterity, wisdom, charisma","Performance, arcana, acrobatics","Air Slash, Agility, Rain Dance, ","Weather Ball, Skyward Soar, Celestial Aura, ","Roar of Time, Feather Spear, Venom Dart, ","Call of Ouroboros, Sapphire Torrent, Tragic Hero","Royal Guard, Cactus Bloom, Ascension","Hyper Beam, Hyper Voice, ",Air Slash,Agility,Rain Dance,,Weather Ball,Skyward Soar,Celestial Aura,,Roar of Time,Feather Spear,Venom Dart,,Call of Ouroboros,Sapphire Torrent,Tragic Hero,Royal Guard,Cactus Bloom,Ascension,Hyper Beam,Hyper Voice,,Any move targeting this Pokémon directly (non-area of effect moves) reduces its VP by double when activated.,,"When this Pokémon enters an outside battle, the weather immediately changes to light rain for 5 rounds. In the case of another Pokémon with a similar weather ability, the tie goes to the Pokémon with the highest DEX score.",40ft,-,80ft,-,-,-,Superior,Excellent,Good,Excellent,-,Excellent,Excellent,Superior,Good
199,Heliosol,Shining,This legendary Pokémon is said to watch over the creatures of the desert.,Ground,Flying,Medium,Unique,Desert,Protective,Day,Evolves: Horusol @ Level 17,Pressure,,Drought,90,8,14,12,84,10,83,"25ft. Walking, 70ft. Flying",86,15,15,14,12,15,15,"Dexterity, wisdom","Performance, acrobatics","Air Slash, Agility, Sunny Day, ","Weather Ball, Skyward Soar, Celestial Aura, ","Spacial Rend, Falcon Dive, Steel Wing, ","Call of the Underworld, Sun Disc, Tragic Hero","Royal Guard, Pharaoh's Curse, Ascension","Hyper Beam, Hyper Voice, ",Air Slash,Agility,Sunny Day,,Weather Ball,Skyward Soar,Celestial Aura,,Spacial Rend,Falcon Dive,Steel Wing,,Call of the Underworld,Sun Disc,Tragic Hero,Royal Guard,Pharaoh's Curse,Ascension,Hyper Beam,Hyper Voice,,Any move targeting this Pokémon directly (non-area of effect moves) reduces its VP by double when activated.,,"When this Pokémon enters an outside battle, the weather immediately changes to bright sunlight for 5 rounds. In the case of another Pokémon with a similar weather ability, the tie goes to the Pokémon with the highest DEX score.",25ft,-,70ft,-,-,-,Superior,Good,Good,Excellent,-,Good,Good,Excellent,Average
200,Horusol,Shining,Ancient legends talk of a great war in which people relied on Horusol for protection.,Ground,Flying,Large,Unique,Desert,Aggressive,Day,From: Heliosol,Pressure,,Drought,100,15,16,20,245,12,156,"40ft. Walking, 80ft. Flying",110,20,20,18,16,18,18,"Strength, dexterity, wisdom, charisma","Performance, arcana, acrobatics","Air Slash, Agility, Sunny Day, ","Weather Ball, Skyward Soar, Celestial Aura, ","Spacial Rend, Falcon Dive, Steel Wing, ","Call of the Underworld, Sun Disc, Tragic Hero","Royal Guard, Pharaoh's Curse, Ascension","Hyper Beam, Hyper Voice, ",Air Slash,Agility,Sunny Day,,Weather Ball,Skyward Soar,Celestial Aura,,Spacial Rend,Falcon Dive,Steel Wing,,Call of the Underworld,Sun Disc,Tragic Hero,Royal Guard,Pharaoh's Curse,Ascension,Hyper Beam,Hyper Voice,,Any move targeting this Pokémon directly (non-area of effect moves) reduces its VP by double when activated.,,"When this Pokémon enters an outside battle, the weather immediately changes to bright sunlight for 5 rounds. In the case of another Pokémon with a similar weather ability, the tie goes to the Pokémon with the highest DEX score.",40ft,-,80ft,-,-,-,Superior,Excellent,Good,Superior,-,Excellent,Excellent,Superior,Good
201,Ananansi,Mischievous,Ananansi disguises itself as fruits and berries to lure in its prey.,Dark,Bug,Small,Rare,Jungle,Stalking,Day,None,Disguise,Color Change,Mimic,85,5,14,10,55,10,60,"45ft. Walking, 45ft. Climbing",82,7,17,16,13,14,15,"Dexterity, constitution","Stealth, persuation, survival, nature","Bite, Glare, Screech, ","First Impression, Silver Wind, Worry Seed, ","Bug Bite, Rage Powder, Bide, ","Transform, Assurance, Thief","Topsy-Turvy, Confuse Ray, ","Quiver Dance, Spite, ",Bite,Glare,Screech,,First Impression,Silver Wind,Worry Seed,,Bug Bite,Rage Powder,Bide,,Transform,Assurance,Thief,Topsy-Turvy,Confuse Ray,,Quiver Dance,Spite,,"This Pokémon has a disguise which gives it a temporary hpboost equal to twice its level. When the temporary hit pointsfall to zero, the disguise breaks and requires a short rest torepair.","When hit by a damaging attack, this Pokémon's type changes to the type that hit it. It takes on the new type's resistances, vulnerabilities, and immunities.",This Pokémon may assume the form of any object it has seen. Any creature that attempts to interact with this Pokémon will be ambushed.,45ft,45ft,-,-,-,-,Excellent,Average,Good,Good,-,-,Average,Excellent,-
202,Loreleaf,Nettle dragon,"This Pokémon has existed for a very long time, and is important in the folklore of Mystaura. The presence of Loreleaf is thought to cause mystical visions and dreams.",Dragon,Poison,Large,Very rare,Jungle,Cautious,Dusk,Evolves: Foliarch @ Level 12 with Leaf Stone,Synchronize,Poison Point,Overgrow,105,7,13,10,80,8,69,"35ft. Walking, 35ft. Climbing",70,14,16,18,5,7,10,"Dexterity, intelligence",Intimidation,"Razor Leaf, Synthesis, Clear Smog, ","Misty Terrain, Mist, Smog, ","Aromatic Mist, Dragon Breath, , ","Mist Ball, Frenzy Plant, ","Solar Beam, Ominous Wind, ","Grass Whistle, , ",Razor Leaf,Synthesis,Clear Smog,,Misty Terrain,Mist,Smog,,Aromatic Mist,Dragon Breath,,,Mist Ball,Frenzy Plant,,Solar Beam,Ominous Wind,,Grass Whistle,,,"If this Pokémon becomes burned, paralyzed, or poisoned, its
attacker receives the negative status condition as well (even if otherwise
immune).","When this Pokémon is hit with a melee attack, roll a 1d4. Ona result of 4, the attacker takes an amount of poison damageequal to this Pokémon’s proficiency modifier.","When this Pokémon falls below 25% of its maximum HP,
add 50% more dice to damage rolls for its grass-type moves, and damaging water moves cost 50% more VP.",35ft,35ft,-,-,-,-,Good,Good,Excellent,Good,-,Good,Good,Excellent,-
203,Foliarch,Nettle dragon,"The mist it generates causes hallucinations if inhaled. Makes its home deep in the jungle, and creates a protective cloud of mist in order to confuse intruders.",Dragon,Poison,Huge,Extremely rare,Jungle,Protective,Dusk,From: Loreleaf,Synchronize,Poison Point,Overgrow,115,17,14,12,233,10,154,"40ft. Walking, 40ft. Climbing",95,19,19,23,7,15,12,"Dexterity, intelligence","Intimidation, survival","Razor Leaf, Synthesis, Clear Smog, ","Misty Terrain, Mist, Smog, ","Aromatic Mist, Dragon Breath, , ","Mist Ball, Frenzy Plant, ","Solar Beam, Ominous Wind, ","Grass Whistle, Frost Breath, ",Razor Leaf,Synthesis,Clear Smog,,Misty Terrain,Mist,Smog,,Aromatic Mist,Dragon Breath,,,Mist Ball,Frenzy Plant,,Solar Beam,Ominous Wind,,Grass Whistle,Frost Breath,,"If this Pokémon becomes burned, paralyzed, or poisoned, its
attacker receives the negative status condition as well (even if otherwise
immune).","When this Pokémon is hit with a melee attack, roll a 1d4. Ona result of 4, the attacker takes an amount of poison damageequal to this Pokémon’s proficiency modifier.","When this Pokémon falls below 25% of its maximum HP,
add 50% more dice to damage rolls for its grass-type moves, and damaging water moves cost 50% more VP.",40ft,40ft,-,-,-,-,Good,Good,Superior,Excellent,-,Excellent,Excellent,Superior,Average
204,Gabyz,Beholder,"Inside the comfortable confines of its subterranean lair, a Gabyz is nearly unassailable thanks to the combination of its peerless intellect and the brutal effects of its eye rays.",Psychic,Dark,Medium,Extremely rare,Depths of Twilight,Territorial,Unknown,Evolves: Gabyztare @ Level 15 with Chaos Spark,Negating Cone,Mold Breaker,Protean,110,10,12,4,54,8,82,40ft. Hovering,91,10,14,14,17,19,17,"Constitution, intelligence",Perception (expertise),"Eye Rays, 1. Charm Ray, 2. Paralyzing Ray, 3. Fear Ray","4. Slowing Ray, 5. Enervation Ray, 6. Telekinetic Ray, 7. Sleep Ray","8. Petrification, 9. Disintegration, 10. Death Ray, Abyssal Eye","Ice Beam, Psybeam, Signal Beam","Signal Beam, Bubble Beam, Simple Beam","Moongeist Beam, Hyper Beam, Solar Beam",Eye Rays,1. Charm Ray,2. Paralyzing Ray,3. Fear Ray,4. Slowing Ray,5. Enervation Ray,6. Telekinetic Ray,7. Sleep Ray,8. Petrification,9. Disintegration,10. Death Ray,Abyssal Eye,Ice Beam,Psybeam,Signal Beam,Signal Beam,Bubble Beam,Simple Beam,Moongeist Beam,Hyper Beam,Solar Beam,"The beholder's central eye creates an area of energy nullification, in a 150-foot cone. As a bonus action, the beholder decides which way the cone faces and whether the cone is active. All moves that are not normal type are negated within the affected area. The beholder's moves are not affected by this.","This Pokémon's moves ignore any abilities or moves that would lessen their effect or ability to hit an opponent (Due to things like Water Absorb, Snow Cloak, Thick Fat, etc.)","This Pokémon's primary type changes to the type of move it uses, just before the move is used. It takes on the new type's resistances, vulnerabilities, and immunities.",-,-,-,40ft,-,-,Superior,Average,-,-,-,Superior,Good,Superior,Average
205,Gabyztare,Beholder,"It believes that it is superior to every other creature, even including other of its kind.",Psychic,Dark,Large,Extremely rare,Depths of Twilight,Territorial,Unknown,From: Gabyz,Negating Cone,Mold Breaker,Protean,115,15,14,6,126,10,132,50ft. Hovering,110,12,15,18,20,26,19,"Constitution, intelligence",Perception (expertise),"Eye Rays, 1. Charm Ray, 2. Paralyzing Ray, 3. Fear Ray","4. Slowing Ray, 5. Enervation Ray, 6. Telekinetic Ray, 7. Sleep Ray","8. Petrification, 9. Disintegration, 10. Death Ray, Abyssal Eye","Ice Beam, Psybeam, Signal Beam","Signal Beam, Bubble Beam, Simple Beam","Moongeist Beam, Hyper Beam, Solar Beam",Eye Rays,1. Charm Ray,2. Paralyzing Ray,3. Fear Ray,4. Slowing Ray,5. Enervation Ray,6. Telekinetic Ray,7. Sleep Ray,8. Petrification,9. Disintegration,10. Death Ray,Abyssal Eye,Ice Beam,Psybeam,Signal Beam,Signal Beam,Bubble Beam,Simple Beam,Moongeist Beam,Hyper Beam,Solar Beam,"The beholder's central eye creates an area of energy nullification, in a 150-foot cone. As a bonus action, the beholder decides which way the cone faces and whether the cone is active. All moves that are not normal type are negated within the affected area. The beholder's moves are not affected by this.","This Pokémon's moves ignore any abilities or moves that would lessen their effect or ability to hit an opponent (Due to things like Water Absorb, Snow Cloak, Thick Fat, etc.)","This Pokémon's primary type changes to the type of move it uses, just before the move is used. It takes on the new type's resistances, vulnerabilities, and immunities.",-,-,-,50ft,-,-,Superior,Average,-,-,-,Superior,Excellent,Superior,Good
206,Finchap,Finch,"This bird is not migratory in the milder parts of its range, but vacates the colder regions in winter. It occasionally strays to the western Shima, although some sightings may be escapees.",Flying,Normal,Tiny,Common,Forest,Cautious,Day,Evolves: Falcinch @ Level 5,Big Pecks,Cacophony,Anger Point,55,1,11,6,11,8,26,"30ft. Walking, 50ft. Flying",64,7,15,12,6,10,14,Dexterity,Acrobatics +5,"Pluck, Sand Attack, Focus Energy, ","Chatter, Double Team, Gust, ","Aerial Ace, Whirlwind, Feather Dance, Tailwind","Acrobatics, Quick Guard, ","Hone Claws, Slash, ","Sky Attack, Weather Ball, ",Pluck,Sand Attack,Focus Energy,,Chatter,Double Team,Gust,,Aerial Ace,Whirlwind,Feather Dance,Tailwind,Acrobatics,Quick Guard,,Hone Claws,Slash,,Sky Attack,Weather Ball,,This Pokémon's AC cannot be reduced by an opponent's moves.,This Pokémon is immune to sound-based moves.,"After suffering a critical hit, this Pokémon doubles the damage dice for a single move it activates on the following turn.",30ft,-,50ft,-,-,-,Excellent,Good,Average,-,-,-,-,Average,-
207,Falcinch,Finch,"Although its diet consists almost exclusively of medium-sized birds, Falcinch will sometimes hunt small mammals, small reptiles, or even insects.",Flying,Normal,Medium,Uncommon,Forest,Aggressive,Day,From: Finchap; Evolves: Raptinch @ Level 10,Big Pecks,Cacophony,Anger Point,75,5,12,8,38,10,61,"35ft. Walking, 60ft. Flying",79,13,17,13,7,12,17,Dexterity,Acrobatics +5,"Pluck, Sand Attack, Focus Energy, ","Chatter, Double Team, Gust, ","Aerial Ace, Whirlwind, Feather Dance, Tailwind","Acrobatics, Quick Guard, ","Hone Claws, Slash, ","Sky Attack, Weather Ball, ",Pluck,Sand Attack,Focus Energy,,Chatter,Double Team,Gust,,Aerial Ace,Whirlwind,Feather Dance,Tailwind,Acrobatics,Quick Guard,,Hone Claws,Slash,,Sky Attack,Weather Ball,,This Pokémon's AC cannot be reduced by an opponent's moves.,This Pokémon is immune to sound-based moves.,"After suffering a critical hit, this Pokémon doubles the damage dice for a single move it activates on the following turn.",35ft,-,60ft,-,-,-,Superior,Good,Average,-,-,-,Average,Good,-
208,Raptinch,Finch,"The beak is heavier than that of most other birds of prey. Raptinch normally build their nests in tall trees or on high cliffs. Many lay two eggs, but the older chick frequently kills its younger sibling once it has hatched.",Flying,Normal,Large,Rare,Forest,Aggressive,Day,From: Falcinch,Big Pecks,Cacophony,Anger Point,85,9,14,10,82,12,104,"40ft. Walking, 70ft. Flying",92,17,19,15,8,15,18,"Dexterity, constitution",Acrobatics +10,"Pluck, Sand Attack, Focus Energy, ","Chatter, Double Team, Gust, ","Aerial Ace, Whirlwind, Feather Dance, Tailwind","Acrobatics, Quick Guard, ","Hone Claws, Slash, ","Sky Attack, Weather Ball, ",Pluck,Sand Attack,Focus Energy,,Chatter,Double Team,Gust,,Aerial Ace,Whirlwind,Feather Dance,Tailwind,Acrobatics,Quick Guard,,Hone Claws,Slash,,Sky Attack,Weather Ball,,This Pokémon's AC cannot be reduced by an opponent's moves.,This Pokémon is immune to sound-based moves.,"After suffering a critical hit, this Pokémon doubles the damage dice for a single move it activates on the following turn.",40ft,-,70ft,-,-,-,Superior,Good,Good,-,-,-,Good,Excellent,-
209,Laborant,Colony,Laborant form colonies that range in size from a few dozen predatory individuals living in small natural cavities to highly organised colonies that may occupy large territories.,Bug,Steel,Small,Common,Forest,Protective,Day,"Evolves: Soldiant @ Level 3 if assigned by colony, Level 7 otherwise",Hyper Cutter,Iron Barbs,Innards Out,60,1,11,6,13,6,25,"35ft. Walking, 35ft. Climbing",56,12,11,16,2,5,10,Strength,"Perception, survival","Signal Beam, String Shot, Slash, Hone Claws","Dig, Spike Cannon, Lunge, Pursuit","Bug Bite, Metal Claw, Iron Defense, Helping Hand","Parting Shot, X-Scissor, ","U-turn, Beat Up, ","Bug Buzz, Metal Burst, ",Signal Beam,String Shot,Slash,Hone Claws,Dig,Spike Cannon,Lunge,Pursuit,Bug Bite,Metal Claw,Iron Defense,Helping Hand,Parting Shot,X-Scissor,,U-turn,Beat Up,,Bug Buzz,Metal Burst,,This Pokémon’s attack or damage bonuses cannot be decreased by an opponent’s moves.,"When this Pokémon is hit by a melee attack, it may roll a d4.On a 4, deal an amount of damage equal to its proficiencymodifier to its attacker.","When this Pokémon is knocked out by a damaging move, the attacker takes an amount of typeless damage equal to the amount of HP lost.",35ft,35ft,-,-,-,-,Good,Good,Good,Good,-,-,Average,Good,-
210,Soldiant,Colony,"Laborant societies have division of labour, communication between individuals, and an ability to solve complex problems. Some Laborant evolve into stronger Soldiants that protect the colony from intruders.",Bug,Steel,Medium,Common,Forest,Aggressive,Day,From: Laborant; Evolves: Reginant @ Level 10 female queen,Hyper Cutter,Iron Barbs,Innards Out,70,4,13,8,44,8,49,"40ft. Walking, 40ft. Climbing",66,14,12,18,3,8,11,Strength,"Perception, survival","Signal Beam, String Shot, Slash, Hone Claws","Dig, Spike Cannon, Lunge, Pursuit","Bug Bite, Metal Claw, Iron Defense, Helping Hand","Parting Shot, X-Scissor, ","U-turn, Beat Up, ","Bug Buzz, Metal Burst, ",Signal Beam,String Shot,Slash,Hone Claws,Dig,Spike Cannon,Lunge,Pursuit,Bug Bite,Metal Claw,Iron Defense,Helping Hand,Parting Shot,X-Scissor,,U-turn,Beat Up,,Bug Buzz,Metal Burst,,This Pokémon’s attack or damage bonuses cannot be decreased by an opponent’s moves.,"When this Pokémon is hit by a melee attack, it may roll a d4.On a 4, deal an amount of damage equal to its proficiencymodifier to its attacker.","When this Pokémon is knocked out by a damaging move, the attacker takes an amount of typeless damage equal to the amount of HP lost.",40ft,40ft,-,-,-,-,Good,Good,Good,Excellent,-,-,Good,Excellent,-
211,Reginant,Colony,"The Reginant queens can live for up to 30 years. Males, however, are more transitory, being quite short-lived. Reginant are estimated to live 100 times as long as insects of a similar size.",Bug,Steel,Large,Uncommon,Forest,Cautious,Day,From: Soldiant,Queen Majesty,Multiscale,Tough Claws,75,8,16,10,90,10,85,"40ft. Walking, 40ft. Climbing, 50ft. Flying",82,16,15,18,8,12,13,"Strength, charisma","Perception, survival","Signal Beam, String Shot, Slash, Hone Claws","Dig, Spike Cannon, Lunge, Pursuit","Bug Bite, Metal Claw, Iron Defense, Helping Hand","Parting Shot, X-Scissor, Attack Order","U-turn, Beat Up, Defend Order","Bug Buzz, Metal Burst, Heal Order",Signal Beam,String Shot,Slash,Hone Claws,Dig,Spike Cannon,Lunge,Pursuit,Bug Bite,Metal Claw,Iron Defense,Helping Hand,Parting Shot,X-Scissor,Attack Order,U-turn,Beat Up,Defend Order,Bug Buzz,Metal Burst,Heal Order,"Bonus action moves activated by any creature within sight ofthis Pokémon become standard actions.","If this Pokémon is at full health, the first damage dealt to it ishalved.","A successful melee attack by this Pokémon automaticallygets STAB, regardless of its type. If it would normally getSTAB, double the STAB bonus when adding to damage.",40ft,40ft,50ft,-,-,-,Good,Good,Good,Superior,-,Good,Excellent,Superior,Average
212,Osphrone,Fighting Fish,"Osphrone are well known for being highly territorial, with males prone to attacking each other if housed in the same tank; without a means of escape, this will usually result in the death of one or both fish.",Water,Fighting,Small,Uncommon,Sea,Aggressive,Day,Evolves: Osphronent @ Level 8 with  water stone,No Guard,Merciless,Marvel Scale,75,4,12,6,26,8,48,"25ft. Walking, 50ft. Swimming",70,15,15,12,6,11,11,Dexterity,"Athletics, intimidation","Aqua Jet, Flash, Confuse Ray, ","Acrobatics, Bulk Up, Aqua Ring, ","Quick Guard, Extreme Speed, Dragon Dance, ","Water Pulse, Bullet Punch, ","Dive, Refresh, ","Aura Sphere, Hydro Pump, ",Aqua Jet,Flash,Confuse Ray,,Acrobatics,Bulk Up,Aqua Ring,,Quick Guard,Extreme Speed,Dragon Dance,,Water Pulse,Bullet Punch,,Dive,Refresh,,Aura Sphere,Hydro Pump,,Any attack made by or against this Pokémon has advantage.,"This Pokémon doubles their damage dice when dealingdamage to an opponent that is poisoned.",This Pokémon's AC increase by 2 when suffering from a negative status condition.,25ft,-,-,-,50ft,-,Good,Good,Average,-,Good,-,Average,Good,-
213,Osphronent,Fighting Fish,"Osphronent are exceptionally tolerant of low oxygen levels and poor water quality, owing to their special labyrinth organ that allows for the intake of surface air.",Water,Fighting,Medium,Uncommon,Sea,Aggressive,Day,From: Osphrone,No Guard,Merciless,Marvel Scale,80,12,17,10,94,12,126,"30ft. Walking, 60ft. Swimming",81,17,17,13,8,13,13,Dexterity,"Athletics, intimidation","Aqua Jet, Flash, Confuse Ray, ","Acrobatics, Bulk Up, Aqua Ring, ","Quick Guard, Extreme Speed, Dragon Dance, ","Water Pulse, Bullet Punch, ","Dive, Refresh, ","Aura Sphere, Hydro Pump, ",Aqua Jet,Flash,Confuse Ray,,Acrobatics,Bulk Up,Aqua Ring,,Quick Guard,Extreme Speed,Dragon Dance,,Water Pulse,Bullet Punch,,Dive,Refresh,,Aura Sphere,Hydro Pump,,Any attack made by or against this Pokémon has advantage.,"This Pokémon doubles their damage dice when dealingdamage to an opponent that is poisoned.",This Pokémon's AC increase by 2 when suffering from a negative status condition.,30ft,-,-,-,60ft,-,Good,Good,Average,-,Excellent,-,Good,Excellent,-
